////////////////////////////////////////////////////////////////////////////////																												
//对敌人之攻击伤害值 = 自身攻击伤害值 – 敌方防御力																												
//对敌人之攻击成功率 = 自身攻击成功率 – 敌方防御成功率																												
//对敌人之闪躲成功率 = 自身防御成功率 – 敌方攻击成功率																												
// 套装属性  (1:力量, 2:敏捷性, 3:精力, 4:体力)"																												
// itemSlot  (-1: 基本设定, 0:左手武器, 1:右手武器, 2:头盔, 3: 盔甲, 4: 护腿, 5: 护手, 6: 鞋, 7:翅膀, 8:补助Unit, 9:项链, 10:戒子)"																												
// skilltype (0:没有技能, 在skill.txt以技能Index设定)"																												
// sirial : 要不要输入序号?																												
// option : 要显示特殊功能?																												
//不会从怪物身上掉下的物品?																												
//Index	ItemSlot	SkillType	x	y	sirial	option	drop	Name	level	DamMin	DamMax	Speed	Dur	MagicDur	MagicPW	NLvl	Str	Dex	Eng	Hea	Cha	全套属性	法师	剑士	弓箭手	魔剑士	圣导师	召唤术师
0	//剑类																											
0	0	0	1	2	1	1	1	"波刃剑"		6	6	11	50	20	0	0	0	40	40	0	0	0	1	1	1	1	1	1	1
1	0	0	1	3	1	1	1	"短剑"			3	3	7	20	22	0	0	0	60	0	0	0	0	1	1	1	1	1	1	1
2	0	0	1	3	1	1	1	"西洋剑"		9	9	15	40	23	0	0	0	50	40	0	0	0	1	0	1	1	1	1	1
3	0	20	1	3	1	1	1	"东洋刀"		16	16	26	35	27	0	0	0	80	40	0	0	0	1	0	1	0	1	1	0
4	0	21	1	3	1	1	1	"暗杀者"		12	12	18	30	24	0	0	0	60	40	0	0	0	1	0	1	0	1	1	0
5	0	22	1	3	1	1	1	"极光刀"		36	36	47	30	39	0	0	0	80	50	0	0	0	1	1	1	1	1	1	0
6	0	20	1	3	1	1	1	"拉丁剑"		20	20	30	20	30	0	0	0	110	0	0	0	0	1	0	1	1	1	1	0
7	0	21	1	3	1	1	1	"偃月刀"		24	24	34	25	34	0	0	0	120	0	0	0	0	1	0	1	0	1	1	0
8	0	21	1	3	1	1	1	"巨蛇魔剑"		30	30	40	20	36	0	0	0	130	0	0	0	0	1	0	1	0	1	1	0
9	0	20	2	3	1	1	1	"背叛者"		32	32	46	30	40	0	0	0	103	0	0	0	0	1	0	1	0	1	0	0
