////////////////////////////////////////////////////////////////////////////////																																													
// Text Ver. 0.0.1.2																																													
// Version - T服务器																																													
// Version - M服务器																																													
// 最终修正人 - 游赛																																												
// 最终修正日 - 2009-08-24 08:46 AM																																													
// 内容: 添加套装 (补充所有套装)																																													
////////////////////////////////////////////////////////////////////////////////																																													
																																													
//link Index	name	option 2-1	Value	option 2-2	Value	option 3-1	Value	option 3-2	Value	option 4-1	Value	option 4-2	Value	option 5-1	Value	option 5-2	Value	option 6-1	Value	option 6-2	Value	option 7-1	Value	option 7-2	Value	option 8	Value	option 9	Value	Full 1	Value	Full 2	Value	Full 3	Value	Full 4	Value	Full 5	Value	魔法师	剑士	弓箭手	魔剑士	圣导师	召唤术师
	//剑士 or 魔剑士																																												
1	"汉斯的"	0	10	-1	-1	19	10	-1	-1	13	20	-1	-1	14	5	-1	-1	10	20	-1	-1	1	10	-1	-1	-1	-1	-1	-1	15	5	17	5	0	25	-1	-1	-1	-1	0	0	0	0	0	0
2	"汉斯的强化"	11	50	-1	-1	1	50	-1	-1	22	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	30	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
3	"汉斯的"	2	15	-1	-1	1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	20	12	30	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
4	"汉斯的强化"	3	20	-1	-1	19	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	10	1	20	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
5	"汉斯的"	19	15	-1	-1	9	50	-1	-1	7	5	-1	-1	11	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	30	15	10	17	10	-1	-1	-1	-1	0	0	0	0	0	0
6	"汉斯的强化"	6	10	-1	-1	6	20	-1	-1	6	30	-1	-1	6	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	40	0	40	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
7	"汉斯的"	13	30	-1	-1	20	5	-1	-1	2	15	-1	-1	11	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	25	7	15	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
8	"汉斯的强化"	15	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	50	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
9	"汉斯的"	2	15	-1	-1	3	30	-1	-1	7	10	-1	-1	0	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	25	17	10	18	20	-1	-1	-1	-1	0	0	0	0	0	0
10	"汉斯的强化"	19	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	30	21	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
11	"汉斯的"	10	25	-1	-1	20	10	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0
12	"汉斯的强化"	19	15	-1	-1	8	15	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	20	6	30	21	5	-1	-1	-1	-1	0	0	0	0	0	0
	//魔法师 or 魔剑士																																												
13	"帕希的"	2	10	-1	-1	7	5	-1	-1	19	10	-1	-1	12	30	-1	-1	11	30	-1	-1	13	20	-1	-1	-1	-1	-1	-1	15	10	17	10	2	30	-1	-1	-1	-1	0	0	0	0	0	0
14	"帕希的强化"	7	10	-1	-1	2	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	30	12	100	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
15	"帕希的"	19	15	-1	-1	3	20	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	5	9	50	14	5	-1	-1	-1	-1	0	0	0	0	0	0
16	"帕希的强化"	20	5	-1	-1	15	5	-1	-1	10	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	50	1	50	3	50	2	50	-1	-1	0	0	0	0	0	0
17	"帕希的"	0	15	-1	-1	7	10	-1	-1	22	5	-1	-1	2	15	-1	-1	9	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	11	50	12	50	-1	-1	0	0	0	0	0	0
18	"帕希的强化"	2	30	-1	-1	10	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	100	19	15	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
19	"帕希的"	20	10	-1	-1	12	50	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0
20	"帕希的强化"	19	10	-1	-1	20	10	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	10	21	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
	//弓箭手																																												
21	"安吉拉的"	1	10	-1	-1	11	50	-1	-1	10	20	-1	-1	22	5	-1	-1	2	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	50	0	20	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
22	"安吉拉的强化"	1	20	-1	-1	8	25	-1	-1	20	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	40	15	10	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
23	"安吉拉的"	19	10	-1	-1	12	25	-1	-1	0	10	-1	-1	20	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	30	17	10	18	10	-1	-1	-1	-1	0	0	0	0	0	0
24	"安吉拉的强化"	11	100	-1	-1	12	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	100	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
25	"安吉拉的"	2	15	-1	-1	11	50	-1	-1	9	50	-1	-1	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	50	21	5	13	50	-1	-1	-1	-1	0	0	0	0	0	0
26	"安吉拉的强化"	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	5	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
27	"安吉拉的"	6	20	-1	-1	19	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	50	20	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
28	"安吉拉的强化"	19	15	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	1	40	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
29	"安吉拉的"	1	30	-1	-1	5	20	-1	20	10	20	-1	-1	6	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0
30	"安吉拉的强化"	8	10	-1	-1	20	10	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	-1	-1	-1	-1	0	0	0	0	0	0
	//魔剑士																																												
31	"凯文的"	21	5	-1	-1	20	15	-1	-1	19	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	18	30	7	10	0	30	-1	-1	0	0	0	0	0	0
32	"凯文的强化"	19	10	-1	-1	7	10	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	10	25	23	20	-1	-1	0	0	0	0	0	0
	//圣导师																																												
33	"阿莱斯的"	20	10	-1	-1	10	40	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0
34	"阿莱斯的强化"	8	20	-1	-1	19	20	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	4	30	-1	-1	0	0	0	0	0	0
	//召唤术师																																												
35	"露茜的"	20	20	-1	-1	10	60	-1	-1	19	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0
36	"露茜的强化"	7	15	-1	-1	19	25	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	-1	-1	-1	-1	0	0	0	0	0	0
end
