//---------------------------------------------------------------------------------------------------------------------																																	
//技能表-不懂不要乱改
//修改请用EXCEL打开修改-先打开EXCEL->文件->打开->选择本文件(文件类型选择有TXT格式的)	
//在弹出的文本导入向导中的第二步,文本识别符号(Q)->默认为",选择改为{无},然后就下一步然后结束,这样文件的引号不会被去掉																															
//---------------------------------------------------------------------------------------------------------------------
//以下功能不是每样都有效的,具体请以实际情况为准
//编号		技能编号
//Name		技能名称
//等级		技能所需等级
//伤害		技能伤害
//魔法值	技能所需魔法值
//AG		技能所需AG值
//距离		技能使用距离
//延迟		技能使用间隔
//智力		技能所需智力
//统率		技能所需统率																															
//属性1 	[-1(无). 0(冰). 1(毒). 2(雷). 3(火). 4(土). 5(风). 6(水)]
//		如果技能是0(冰)属性,那么你使用此技能,那么最后攻击的效果会增加你冰属性伤害,一般就是首饰的冰属性,如果没戴冰属性的首饰也没用.(对法师技能无效)																												
//属性2 	[-1(无). 0(物理). 1(魔法)]
//skillusetype	[0(一般技能). 1(职责技能_战盟). 3(大师等级:被动). 4(大师等级: 主动)]																																	
//skillbrand 	前置技能. 若是大师等级的主动强化技能必须置入先行技能条件之类的技能
//KillCout	符合一定的杀人才能用(职务技能和幻影寺院使用)
//盟主		符合此条件才能使用
//副盟主	符合此条件才能使用	
//战斗队长	符合此条件才能使用
//法师		符合此条件才能使用	
//战士		符合此条件才能使用
//弓箭手	符合此条件才能使用	
//魔剑士	符合此条件才能使用	
//圣导师	符合此条件才能使用
//召唤术师	符合此条件才能使用
//SkillRank	大师技能使用
//SkillGroup	大师技能使用
//rAG		无用
//rShield	无用
//持续时间	无用
//所需力量	大师技能加点的时候用到,但是目前没有任何技能需求力量和敏捷
//所需敏捷	大师技能加点的时候用到,但是目前没有任何技能需求力量和敏捷
//图标编号	无用
//技能类型	无用
//---------------------------------------------------------------------------------------------------------------------
//编号	Name	等级	伤害	魔法值	AG	距离	延迟	智力	统率	属性1	属性2	SkilluseType	SkillBrand	KillCout	盟主	副盟主	战斗队长	法师	战士	弓箭手	魔剑士	圣导师	召唤术师	SkillRank	SkillGroup	所需点数	rAG	rShield	持续时间	所需力量	所需敏捷	图标编号	技能类型
17	"能量球"	2	3	1	0	6	0	0	0	-1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4	"火球"	5	8	3	0	6	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
11	"真空波"	9	14	5	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
3	"掌心雷"	13	17	15	0	6	0	100	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
6	"瞬间移动"	17	0	30	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	"陨石"	21	21	12	0	6	0	100	0	4	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
7	"冰封"	25	10	38	0	6	0	100	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2
1	"毒咒"	30	12	42	0	6	0	100	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
5	"火龙"	35	25	50	0	6	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
8	"龙卷风"	40	35	60	0	6	0	100	0	5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
9	"黑龙波"	50	45	90	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
10	"地狱火"	60	120	160	0	0	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
12	"极光"	74	80	140	0	6	0	110	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16	"守护之魂"	77	0	70	22	6	0	126	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
